# German Sentiment Dictionary for MarkerEngine
# Format: word,sentiment
# Sentiment values: positive, negative, neutral

# Positive emotions and expressions
liebe,positive
lieben,positive
geliebt,positive
glücklich,positive
freude,positive
freudig,positive
schön,positive
wunderbar,positive
fantastisch,positive
großartig,positive
toll,positive
super,positive
ausgezeichnet,positive
perfekt,positive
hoffnung,positive
hoffnungsvoll,positive
zufrieden,positive
begeistert,positive
optimistisch,positive
dankbar,positive
friedlich,positive
ruhig,positive
vertrauen,positive
sicher,positive
stark,positive
mutig,positive
erfolgreich,positive
geborgen,positive
warm,positive
herzlich,positive
liebevoll,positive
zärtlich,positive
sanft,positive
geduldig,positive
verständnisvoll,positive

# Negative emotions and expressions
traurig,negative
trauer,negative
wütend,negative
wut,negative
ärger,negative
ärgerlich,negative
hass,negative
hassen,negative
schlecht,negative
schrecklich,negative
furchtbar,negative
grauenhaft,negative
enttäuscht,negative
enttäuschung,negative
angst,negative
ängstlich,negative
besorgt,negative
unsicher,negative
einsam,negative
einsamkeit,negative
verlassen,negative
verzweifelt,negative
verzweiflung,negative
hoffnungslos,negative
deprimiert,negative
niedergeschlagen,negative
unglücklich,negative
leiden,negative
schmerz,negative
schmerzlich,negative
verletzt,negative
gebrochen,negative
schwach,negative
hilflos,negative
schuldig,negative
beschämt,negative
peinlich,negative

# Ambivalent/Complex emotions
vermissen,negative
sehnsucht,negative
nostalgie,negative
melancholie,negative
zwiespältig,negative
ambivalent,negative
unsicher,negative
verwirrt,negative
durcheinander,negative

# Relationship-specific terms
trennung,negative
abstand,negative
distanz,negative
konflikt,negative
streit,negative
versöhnung,positive
vergebung,positive
kompromiss,positive
verständnis,positive
nähe,positive
verbindung,positive
beziehung,neutral
partnerschaft,neutral
freundschaft,positive

# Temporal markers (neutral)
aber,neutral
jedoch,neutral
trotzdem,neutral
dennoch,neutral
obwohl,neutral
allerdings,neutral
zwar,neutral
einerseits,neutral
andererseits,neutral
manchmal,neutral
oft,neutral
selten,neutral
immer,neutral
nie,neutral
niemals,neutral

# Negation words (modifier)
nicht,neutral
kein,neutral
keine,neutral
niemals,neutral
nie,neutral
nirgends,neutral
niemand,neutral

# Intensifiers (neutral)
sehr,neutral
ziemlich,neutral
extrem,neutral
total,neutral
völlig,neutral
absolut,neutral
komplett,neutral
wirklich,neutral
echt,neutral

# Modal verbs (neutral)
können,neutral
müssen,neutral
wollen,neutral
sollen,neutral
dürfen,neutral
mögen,neutral
brauchen,neutral

# Common verbs (neutral unless context-specific)
sein,neutral
haben,neutral
werden,neutral
machen,neutral
gehen,neutral
kommen,neutral
sehen,neutral
sagen,neutral
geben,neutral
nehmen,neutral
finden,neutral
denken,neutral
wissen,neutral
glauben,neutral
fühlen,neutral
