File	Status	Error	Details
A_UNDERSTANDING.yaml	SUCCESS		Normalized with 5 examples
A_IF_YOU_WANT_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_FLIRT_DANCE_DRIFT_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_SECRET_BONDING_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_RELATIONAL_DESTABILIZATION_LOOP_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_APPEAL_TO_AUTHORITY_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_HOPEFUL_DRIVING_TONE.yaml	SUCCESS		Normalized with 5 examples
AROUSAL_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_POSITIVE_INITIATIVE.yaml	SUCCESS		Normalized with 5 examples
A_PERSONAL_SECRET_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_SUBTLE_SARCASM_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_REPETITIVE_COMPLAINT_MARKER.yaml	SUCCESS		Normalized with 5 examples
TERMINATION_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_SUSTAINED_CONTACT_MARKER.yaml	SUCCESS		Normalized with 10 examples
MM_EMOTION_DYNAMICS_RISK_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_AUTONOMOUS_FIELD_STRUCTURING_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_TOGETHERNESS_TERMS_MARKER.yaml	SUCCESS		Normalized with 30 examples
A_UNCERTAINTY_PHRASE.yaml	SUCCESS		Normalized with 5 examples
S_SECURE_CHILDHOOD_REF_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_MARKERENGINE_BUSINESS_CASE.yaml	SUCCESS		Normalized with 5 examples
A_CERTAINTY_PHRASE.yaml	SUCCESS		Normalized with 5 examples
A_SWAYING.yaml	SUCCESS		Normalized with 5 examples
S_EMO_VOLATILE_WINDOW_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_ORG_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_CRITICISM_ATTACK_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_EMOTIONAL_INVALIDATION.yaml	SUCCESS		Normalized with 5 examples
A_BLAME_SHIFT_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_RESONANZ_AUF_KOSENAME_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_DEFENSIVE_JUSTIFICATION_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_FIRST_TIME_DEPTH_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_SYMBOLIC_SUPPORT_FIELD.yaml	SUCCESS		Normalized with 5 examples
C_ATTACHMENT_STYLE_AVOIDANT_MARKER.yaml	SUCCESS		Normalized with 5 examples
FLUCTUATION_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_ABBRUCHMARKER.yaml	SUCCESS		Normalized with 5 examples
S_PASSIVE_AGGRESSIVE_WITHDRAWAL_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_Emotional_ESPAW.yaml	SUCCESS		Normalized with 5 examples
A_PARTIAL_DISCLOSURE_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_WELLBEING_BALANCE_MARKER.yaml	QUARANTINED	NORMALIZATION_ERROR	'dict' object has no attribute 'startswith'
A_SELF_RELIANCE_EARLY_MARKER.yaml	SUCCESS		Normalized with 5 examples
INTEGRATION_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_BRO_LIKE_CALLING_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_EMO_SLOPE_DOWN_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_EMO_CONTRAST_DRIFT.yaml	SUCCESS		Normalized with 5 examples
C_WACHSENDE_VERBINDUNG_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_MARKERENGINE_CI_RELEASE.yaml	SUCCESS		Normalized with 5 examples
UNCERTAINTY_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_EXPLICIT_CONNECTION.yaml	SUCCESS		Normalized with 5 examples
A_KISS_KEYWORD_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_PASSIVE_AGGRESIVE.yaml	SUCCESS		Normalized with 5 examples
S_CRITICISM_DEFENSIVENESS_LOOP_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_EMOJI_SUPPORT.yaml	SUCCESS		Normalized with 5 examples
C_FRIENDSHIP_SIGNALING_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_CONTRAST_CONJUNCTION_MARKER.yaml	SUCCESS		Normalized with 7 examples
A_SYMBOL_LANGUAGES.yaml	SUCCESS		Normalized with 5 examples
A_EMO_HIGH_VALENCE_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_EMO_LOW_VALENCE_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_SOFT_FLIRT_MARKER.yaml	SUCCESS		Normalized with 10 examples
C_ATTACHMENT_STYLE_ANXIOUS_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_DEVALUING_STATEMENT_MARKER.yaml	SUCCESS		Normalized with 20 examples
A_LOC_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_SVT_MESSAGE_INCONGRUENCE_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_RIVALRY_MENTION_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_EMO_VOLATILE_WINDOW_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_UNRESOLVED_ISSUE_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_SELF_PROTECTION_DECEPTION_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_CALL_TO_ACTION.yaml	SUCCESS		Normalized with 5 examples
A_REALITY_SHIFT.yaml	SUCCESS		Normalized with 5 examples
S_HIGH_SIMILARITY_DUPLICATE_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_MEANING_CRISIS_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_INITIATIVE_GEMEINSAME_ZUKUNFT_MARKER.yaml	SUCCESS		Normalized with 30 examples
A_SVT_BEZIEHUNG_DU_BOTSCHAFT_MARKER.yaml	SUCCESS		Normalized with 40 examples
A_DAILY_GREETING_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_UNCERTAINTY_PHRASE_MARKER.yaml	SUCCESS		Normalized with 7 examples
MM_RELATIONAL_STABILITY_FRIENDSHIP_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_POSITIVE_RESONANCE_ON_PET_NAME_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_PASSIVE_AGGRESSIVE_ATTACK_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_DESTRUCTIVE_CONFLICT_DYNAMICS_MARKER.yaml	SUCCESS		Normalized with 20 examples
MM_INFORMATION_DENSITY_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_SOFT_COMMITMENT_MARKER.yaml	SUCCESS		Normalized with 5 examples
CONNECTION_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_HIGH_PRESSURE_DEMAND_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_DEFENSIVENESS_SHIFT_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_FEELING_CONNECTION_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_SELF_PROTECTION_TACTICS_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_NEGATIVE_CAREGIVER_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_ADAPTIVE_POLARIZATION_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_INVITING_RESONANCE_MARKER.yaml	SUCCESS		Normalized with 30 examples
S_INTERACTIVE_STONEWALLING_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_POSITIVE_RESONANCE_MARKER.yaml	SUCCESS		Normalized with 30 examples
